row_index,worlds,mean_probability,std_probability,min_probability,max_probability,probability_range,baseline_probability
20,20,0.4699999999999999,0.0,0.47,0.47,0.0,0.47
26,20,0.25,0.0,0.25,0.25,0.0,0.25
39,20,0.045,0.0,0.045,0.045,0.0,0.045
67,20,0.41,0.0,0.41,0.41,0.0,0.41
97,20,0.43,0.0,0.43,0.43,0.0,0.43
98,20,0.05,0.0,0.05,0.05,0.0,0.05
116,20,0.325,0.0,0.325,0.325,0.0,0.325
134,20,0.09,0.0,0.09,0.09,0.0,0.09
162,20,0.44000000000000006,0.0,0.44,0.44,0.0,0.44
164,20,0.12,0.0,0.12,0.12,0.0,0.12
184,20,0.185,0.0,0.185,0.185,0.0,0.185
186,20,0.05500000000000001,0.0,0.055,0.055,0.0,0.055
187,20,0.23000000000000004,0.0,0.23,0.23,0.0,0.23
198,20,0.11000000000000001,0.0,0.11,0.11,0.0,0.11
200,20,0.595,0.0,0.595,0.595,0.0,0.595
209,20,0.1333009995859703,0.0,0.1333009995859703,0.1333009995859703,0.0,0.1333009995859703
212,20,0.335,0.0,0.335,0.335,0.0,0.335
225,20,0.485,0.0,0.485,0.485,0.0,0.485
226,20,0.315,0.0,0.315,0.315,0.0,0.315
239,20,0.445,0.0,0.445,0.445,0.0,0.445
255,20,0.24,0.0,0.24,0.24,0.0,0.24
264,20,0.05,0.0,0.05,0.05,0.0,0.05
295,20,0.01,0.0,0.01,0.01,0.0,0.01
305,20,0.15,0.0,0.15,0.15,0.0,0.15
309,20,0.11500000000000002,0.0,0.115,0.115,0.0,0.115
310,20,0.045,0.0,0.045,0.045,0.0,0.045
314,20,0.145,0.0,0.145,0.145,0.0,0.145
331,20,0.185,0.0,0.185,0.185,0.0,0.185
332,20,0.10500000000000001,0.0,0.105,0.105,0.0,0.105
340,20,0.04,0.0,0.04,0.04,0.0,0.04
343,20,0.02,0.0,0.02,0.02,0.0,0.02
350,20,0.02,0.0,0.02,0.02,0.0,0.02
363,20,0.275,0.0,0.275,0.275,0.0,0.275
391,20,0.21000000000000002,0.0,0.21,0.21,0.0,0.21
395,20,0.01,0.0,0.01,0.01,0.0,0.01
430,20,0.535,0.0,0.535,0.535,0.0,0.535
443,20,0.305,0.0,0.305,0.305,0.0,0.305
446,20,0.225,0.0,0.225,0.225,0.0,0.225
463,20,0.23376133938100324,0.0,0.2337613393810032,0.2337613393810032,0.0,0.2337613393810032
485,20,0.225,0.0,0.225,0.225,0.0,0.225
490,20,0.12,0.0,0.12,0.12,0.0,0.12
492,20,0.255,0.0,0.255,0.255,0.0,0.255
505,20,0.55,0.0,0.55,0.55,0.0,0.55
509,20,0.8400000000000001,0.0,0.84,0.84,0.0,0.84
529,20,0.125,0.0,0.125,0.125,0.0,0.125
544,20,0.57,0.0,0.57,0.57,0.0,0.57
548,20,0.4699999999999999,0.0,0.47,0.47,0.0,0.47
552,20,0.23000000000000004,0.0,0.23,0.23,0.0,0.23
561,20,0.095,0.0,0.095,0.095,0.0,0.095
580,20,0.265,0.0,0.265,0.265,0.0,0.265
619,20,0.11000000000000001,0.0,0.11,0.11,0.0,0.11
620,20,0.26,0.0,0.26,0.26,0.0,0.26
628,20,0.205,0.0,0.205,0.205,0.0,0.205
632,20,0.28,0.0,0.28,0.28,0.0,0.28
643,20,0.675,0.0,0.675,0.675,0.0,0.675
645,20,0.29,0.0,0.29,0.29,0.0,0.29
655,20,0.505,0.0,0.505,0.505,0.0,0.505
661,20,0.38,0.0,0.38,0.38,0.0,0.38
664,20,0.045,0.0,0.045,0.045,0.0,0.045
679,20,0.44000000000000006,0.0,0.44,0.44,0.0,0.44
725,20,0.43499999999999994,0.0,0.435,0.435,0.0,0.435
746,20,0.305,0.0,0.305,0.305,0.0,0.305
756,20,0.075,0.0,0.075,0.075,0.0,0.075
759,20,0.025,0.0,0.025,0.025,0.0,0.025
774,20,0.08,0.0,0.08,0.08,0.0,0.08
781,20,0.45499999999999996,0.0,0.455,0.455,0.0,0.455
789,20,0.45,0.0,0.45,0.45,0.0,0.45
793,20,0.05,0.0,0.05,0.05,0.0,0.05
796,20,0.3,0.0,0.3,0.3,0.0,0.3
803,20,0.33,0.0,0.33,0.33,0.0,0.33
816,20,0.225,0.0,0.225,0.225,0.0,0.225
821,20,0.69,0.0,0.69,0.69,0.0,0.69
865,20,0.23499999999999996,0.0,0.235,0.235,0.0,0.235
877,20,0.035,0.0,0.035,0.035,0.0,0.035
880,20,0.535,0.0,0.535,0.535,0.0,0.535
889,20,0.48,0.0,0.48,0.48,0.0,0.48
892,20,0.505,0.0,0.505,0.505,0.0,0.505
921,20,0.10500000000000001,0.0,0.105,0.105,0.0,0.105
929,20,0.43,0.0,0.43,0.43,0.0,0.43
953,20,0.41,0.0,0.41,0.41,0.0,0.41
967,20,0.255,0.0,0.255,0.255,0.0,0.255
970,20,0.05,0.0,0.05,0.05,0.0,0.05
978,20,0.355,0.0,0.355,0.355,0.0,0.355
979,20,0.305,0.0,0.305,0.305,0.0,0.305
987,20,0.335,0.0,0.335,0.335,0.0,0.335
994,20,0.10500000000000001,0.0,0.105,0.105,0.0,0.105
999,20,0.395,0.0,0.395,0.395,0.0,0.395
1002,20,0.155,0.0,0.155,0.155,0.0,0.155
1005,20,0.36,0.0,0.36,0.36,0.0,0.36
1009,20,0.175,0.0,0.175,0.175,0.0,0.175
1038,20,0.525,0.0,0.525,0.525,0.0,0.525
1040,20,0.43499999999999994,0.0,0.435,0.435,0.0,0.435
1053,20,0.005,0.0,0.005,0.005,0.0,0.005
1061,20,0.555,0.0,0.555,0.555,0.0,0.555
1065,20,0.035,0.0,0.035,0.035,0.0,0.035
1070,20,0.025,0.0,0.025,0.025,0.0,0.025
1071,20,0.085,0.0,0.085,0.085,0.0,0.085
1080,20,0.0,0.0,0.0,0.0,0.0,0.0
1089,20,0.4050000000000001,0.0,0.405,0.405,0.0,0.405
1090,20,0.51,0.0,0.51,0.51,0.0,0.51
1106,20,0.575,0.0,0.575,0.575,0.0,0.575
1114,20,0.0,0.0,0.0,0.0,0.0,0.0
1121,20,0.19,0.0,0.19,0.19,0.0,0.19
1123,20,0.01,0.0,0.01,0.01,0.0,0.01
1124,20,0.14,0.0,0.14,0.14,0.0,0.14
1130,20,0.05,0.0,0.05,0.05,0.0,0.05
1138,20,0.15,0.0,0.15,0.15,0.0,0.15
1141,20,0.02,0.0,0.02,0.02,0.0,0.02
1151,20,0.04,0.0,0.04,0.04,0.0,0.04
1164,20,0.07,0.0,0.07,0.07,0.0,0.07
1177,20,0.39,0.0,0.39,0.39,0.0,0.39
1186,20,0.07,0.0,0.07,0.07,0.0,0.07
1187,20,0.025,0.0,0.025,0.025,0.0,0.025
1189,20,0.23499999999999996,0.0,0.235,0.235,0.0,0.235
1191,20,0.185,0.0,0.185,0.185,0.0,0.185
1194,20,0.475,0.0,0.475,0.475,0.0,0.475
1198,20,0.10500000000000001,0.0,0.105,0.105,0.0,0.105
1200,20,0.0,0.0,0.0,0.0,0.0,0.0
1223,20,0.035,0.0,0.035,0.035,0.0,0.035
1225,20,0.4149999999999999,0.0,0.415,0.415,0.0,0.415
1226,20,0.03,0.0,0.03,0.03,0.0,0.03
1243,20,0.545,0.0,0.545,0.545,0.0,0.545
1245,20,0.05500000000000001,0.0,0.055,0.055,0.0,0.055
1273,20,0.0642691131498471,0.0,0.0642691131498471,0.0642691131498471,0.0,0.0642691131498471
1274,20,0.04,0.0,0.04,0.04,0.0,0.04
1293,20,0.075,0.0,0.075,0.075,0.0,0.075
1297,20,0.275,0.0,0.275,0.275,0.0,0.275
1302,20,0.335,0.0,0.335,0.335,0.0,0.335
1305,20,0.315,0.0,0.315,0.315,0.0,0.315
1311,20,0.535,0.0,0.535,0.535,0.0,0.535
1317,20,0.37,0.0,0.37,0.37,0.0,0.37
1322,20,0.355,0.0,0.355,0.355,0.0,0.355
1332,20,0.06,0.0,0.06,0.06,0.0,0.06
1335,20,0.305,0.0,0.305,0.305,0.0,0.305
1339,20,0.225,0.0,0.225,0.225,0.0,0.225
1340,20,0.11500000000000002,0.0,0.115,0.115,0.0,0.115
1345,20,0.6582693907464858,0.0,0.6582693907464858,0.6582693907464858,0.0,0.6582693907464858
1347,20,0.28,0.0,0.28,0.28,0.0,0.28
1354,20,0.21000000000000002,0.0,0.21,0.21,0.0,0.21
1378,20,0.03,0.0,0.03,0.03,0.0,0.03
1387,20,0.05,0.0,0.05,0.05,0.0,0.05
1389,20,0.275,0.0,0.275,0.275,0.0,0.275
1395,20,0.15,0.0,0.15,0.15,0.0,0.15
1417,20,0.12,0.0,0.12,0.12,0.0,0.12
1420,20,0.14,0.0,0.14,0.14,0.0,0.14
1424,20,0.035,0.0,0.035,0.035,0.0,0.035
1432,20,0.513560068260412,0.0,0.513560068260412,0.513560068260412,0.0,0.513560068260412
1457,20,0.195,0.0,0.195,0.195,0.0,0.195
1467,20,0.445,0.0,0.445,0.445,0.0,0.445
1475,20,0.11500000000000002,0.0,0.115,0.115,0.0,0.115
1478,20,0.22000000000000003,0.0,0.22,0.22,0.0,0.22
1481,20,0.375,0.0,0.375,0.375,0.0,0.375
1482,20,0.11500000000000002,0.0,0.115,0.115,0.0,0.115
1494,20,0.305,0.0,0.305,0.305,0.0,0.305
1498,20,0.475,0.0,0.475,0.475,0.0,0.475
1555,20,0.49000000000000005,0.0,0.49,0.49,0.0,0.49
1557,20,0.315,0.0,0.315,0.315,0.0,0.315
1578,20,0.10500000000000001,0.0,0.105,0.105,0.0,0.105
1580,20,0.195,0.0,0.195,0.195,0.0,0.195
1582,20,0.005,0.0,0.005,0.005,0.0,0.005
1586,20,0.23000000000000004,0.0,0.23,0.23,0.0,0.23
1592,20,0.49000000000000005,0.0,0.49,0.49,0.0,0.49
1595,20,0.165,0.0,0.165,0.165,0.0,0.165
1616,20,0.0,0.0,0.0,0.0,0.0,0.0
1639,20,0.295,0.0,0.295,0.295,0.0,0.295
1653,20,0.525,0.0,0.525,0.525,0.0,0.525
1670,20,0.08150157258797996,0.0,0.08150157258797996,0.08150157258797996,0.0,0.08150157258797996
1681,20,0.255,0.0,0.255,0.255,0.0,0.255
1692,20,0.24,0.0,0.24,0.24,0.0,0.24
1697,20,0.62,0.0,0.62,0.62,0.0,0.62
1744,20,0.11500000000000002,0.0,0.115,0.115,0.0,0.115
1750,20,0.45,0.0,0.45,0.45,0.0,0.45
1752,20,0.0,0.0,0.0,0.0,0.0,0.0
1770,20,0.71,0.0,0.71,0.71,0.0,0.71
1771,20,0.175,0.0,0.175,0.175,0.0,0.175
1788,20,0.09,0.0,0.09,0.09,0.0,0.09
1817,20,0.215,0.0,0.215,0.215,0.0,0.215
1826,20,0.09,0.0,0.09,0.09,0.0,0.09
1831,20,0.175,0.0,0.175,0.175,0.0,0.175
1840,20,0.505,0.0,0.505,0.505,0.0,0.505
1852,20,0.17,0.0,0.17,0.17,0.0,0.17
1858,20,0.05674349874323485,0.0,0.05674349874323486,0.05674349874323486,0.0,0.05674349874323486
1864,20,0.71,0.0,0.71,0.71,0.0,0.71
1866,20,0.49000000000000005,0.0,0.49,0.49,0.0,0.49
1867,20,0.325,0.0,0.325,0.325,0.0,0.325
1884,20,0.545,0.0,0.545,0.545,0.0,0.545
1893,20,0.005,0.0,0.005,0.005,0.0,0.005
1900,20,0.45,0.0,0.45,0.45,0.0,0.45
1905,20,0.501478513628413,6.238914795331411e-17,0.5014785136284129,0.501478513628413,1.1102230246251565e-16,0.501478513628413
1906,20,0.02,0.0,0.02,0.02,0.0,0.02
1922,20,0.385,0.0,0.385,0.385,0.0,0.385
1923,20,0.715,0.0,0.715,0.715,0.0,0.715
1931,20,0.1,0.0,0.1,0.1,0.0,0.1
1961,20,0.015,0.0,0.015,0.015,0.0,0.015
1969,20,0.01,0.0,0.01,0.01,0.0,0.01
1976,20,0.14,0.0,0.14,0.14,0.0,0.14
1986,20,0.325,0.0,0.325,0.325,0.0,0.325
2020,20,0.22000000000000003,0.0,0.22,0.22,0.0,0.22
2044,20,0.845,0.0,0.845,0.845,0.0,0.845
2064,20,0.085,0.0,0.085,0.085,0.0,0.085
2090,20,0.36,0.0,0.36,0.36,0.0,0.36
2118,20,0.04,0.0,0.04,0.04,0.0,0.04
2148,20,0.195,0.0,0.195,0.195,0.0,0.195
2161,20,0.005,0.0,0.005,0.005,0.0,0.005
2163,20,0.02,0.0,0.02,0.02,0.0,0.02
2173,20,0.045,0.0,0.045,0.045,0.0,0.045
2185,20,0.69,0.0,0.69,0.69,0.0,0.69
2188,20,0.31,0.0,0.31,0.31,0.0,0.31
2190,20,0.04,0.0,0.04,0.04,0.0,0.04
2205,20,0.395,0.0,0.395,0.395,0.0,0.395
2212,20,0.005,0.0,0.005,0.005,0.0,0.005
2219,20,0.12,0.0,0.12,0.12,0.0,0.12
2237,20,0.5,0.0,0.5,0.5,0.0,0.5
2240,20,0.44000000000000006,0.0,0.44,0.44,0.0,0.44
2249,20,0.52,0.0,0.52,0.52,0.0,0.52
2252,20,0.315,0.0,0.315,0.315,0.0,0.315
2253,20,0.1,0.0,0.1,0.1,0.0,0.1
2286,20,0.02,0.0,0.02,0.02,0.0,0.02
2288,20,0.15,0.0,0.15,0.15,0.0,0.15
2289,20,0.06,0.0,0.06,0.06,0.0,0.06
2295,20,0.325,0.0,0.325,0.325,0.0,0.325
2301,20,0.05500000000000001,0.0,0.055,0.055,0.0,0.055
2302,20,0.015,0.0,0.015,0.015,0.0,0.015
2304,20,0.045,0.0,0.045,0.045,0.0,0.045
2319,20,0.305,0.0,0.305,0.305,0.0,0.305
2323,20,0.04,0.0,0.04,0.04,0.0,0.04
2325,20,0.395,0.0,0.395,0.395,0.0,0.395
2347,20,0.15,0.0,0.15,0.15,0.0,0.15
2351,20,0.175,0.0,0.175,0.175,0.0,0.175
2360,20,0.015,0.0,0.015,0.015,0.0,0.015
2361,20,0.29,0.0,0.29,0.29,0.0,0.29
2370,20,0.06,0.0,0.06,0.06,0.0,0.06
2377,20,0.08,0.0,0.08,0.08,0.0,0.08
2402,20,0.025,0.0,0.025,0.025,0.0,0.025
2404,20,0.18,0.0,0.18,0.18,0.0,0.18
2419,20,0.23000000000000004,0.0,0.23,0.23,0.0,0.23
2421,20,0.6,0.0,0.6,0.6,0.0,0.6
2452,20,0.02,0.0,0.02,0.02,0.0,0.02
2456,20,0.16,0.0,0.16,0.16,0.0,0.16
2493,20,0.18,0.0,0.18,0.18,0.0,0.18
2495,20,0.0,0.0,0.0,0.0,0.0,0.0
2503,20,0.43499999999999994,0.0,0.435,0.435,0.0,0.435
2507,20,0.615,0.0,0.615,0.615,0.0,0.615
2512,20,0.04,0.0,0.04,0.04,0.0,0.04
2519,20,0.085,0.0,0.085,0.085,0.0,0.085
2522,20,0.4,0.0,0.4,0.4,0.0,0.4
2523,20,0.295,0.0,0.295,0.295,0.0,0.295
2527,20,0.28,0.0,0.28,0.28,0.0,0.28
2532,20,0.05,0.0,0.05,0.05,0.0,0.05
2539,20,0.035,0.0,0.035,0.035,0.0,0.035
2544,20,0.01,0.0,0.01,0.01,0.0,0.01
2557,20,0.045,0.0,0.045,0.045,0.0,0.045
2566,20,0.225,0.0,0.225,0.225,0.0,0.225
2616,20,0.195,0.0,0.195,0.195,0.0,0.195
2624,20,0.03,0.0,0.03,0.03,0.0,0.03
2630,20,0.12,0.0,0.12,0.12,0.0,0.12
2633,20,0.10500000000000001,0.0,0.105,0.105,0.0,0.105
2654,20,0.15,0.0,0.15,0.15,0.0,0.15
2659,20,0.035,0.0,0.035,0.035,0.0,0.035
2674,20,0.4149999999999999,0.0,0.415,0.415,0.0,0.415
2692,20,0.06,0.0,0.06,0.06,0.0,0.06
2704,20,0.02,0.0,0.02,0.02,0.0,0.02
2714,20,0.005,0.0,0.005,0.005,0.0,0.005
2725,20,0.195,0.0,0.195,0.195,0.0,0.195
2726,20,0.08,0.0,0.08,0.08,0.0,0.08
2728,20,0.02,0.0,0.02,0.02,0.0,0.02
2730,20,0.045,0.0,0.045,0.045,0.0,0.045
2736,20,0.27,0.0,0.27,0.27,0.0,0.27
2739,20,0.24,0.0,0.24,0.24,0.0,0.24
2743,20,0.45,0.0,0.45,0.45,0.0,0.45
2749,20,0.11500000000000002,0.0,0.115,0.115,0.0,0.115
2752,20,0.015,0.0,0.015,0.015,0.0,0.015
2792,20,0.51,0.0,0.51,0.51,0.0,0.51
2796,20,0.13,0.0,0.13,0.13,0.0,0.13
2798,20,0.11500000000000002,0.0,0.115,0.115,0.0,0.115
2806,20,0.02,0.0,0.02,0.02,0.0,0.02
2817,20,0.43,0.0,0.43,0.43,0.0,0.43
2819,20,0.01,0.0,0.01,0.01,0.0,0.01
2840,20,0.1,0.0,0.1,0.1,0.0,0.1
2864,20,0.2,0.0,0.2,0.2,0.0,0.2
2882,20,0.05,0.0,0.05,0.05,0.0,0.05
2886,20,0.0,0.0,0.0,0.0,0.0,0.0
2898,20,0.02,0.0,0.02,0.02,0.0,0.02
2905,20,0.065,0.0,0.065,0.065,0.0,0.065
2907,20,0.4149999999999999,0.0,0.415,0.415,0.0,0.415
2927,20,0.07,0.0,0.07,0.07,0.0,0.07
2931,20,0.02,0.0,0.02,0.02,0.0,0.02
2957,20,0.15,0.0,0.15,0.15,0.0,0.15
2959,20,0.16,0.0,0.16,0.16,0.0,0.16
2967,20,0.005,0.0,0.005,0.005,0.0,0.005
2968,20,0.045,0.0,0.045,0.045,0.0,0.045
2971,20,0.08,0.0,0.08,0.08,0.0,0.08
2982,20,0.06,0.0,0.06,0.06,0.0,0.06
3009,20,0.53,0.0,0.53,0.53,0.0,0.53
3035,20,0.07,0.0,0.07,0.07,0.0,0.07
3036,20,0.19,0.0,0.19,0.19,0.0,0.19
3052,20,0.26,0.0,0.26,0.26,0.0,0.26
3071,20,0.155,0.0,0.155,0.155,0.0,0.155
3095,20,0.075,0.0,0.075,0.075,0.0,0.075
3105,20,0.155,0.0,0.155,0.155,0.0,0.155
3115,20,0.205,0.0,0.205,0.205,0.0,0.205
3125,20,0.07,0.0,0.07,0.07,0.0,0.07
3137,20,0.1,0.0,0.1,0.1,0.0,0.1
3147,20,0.135,0.0,0.135,0.135,0.0,0.135
3167,20,0.12,0.0,0.12,0.12,0.0,0.12
3171,20,0.515,0.0,0.515,0.515,0.0,0.515
3183,20,0.01,0.0,0.01,0.01,0.0,0.01
3187,20,0.13,0.0,0.13,0.13,0.0,0.13
3201,20,0.1,0.0,0.1,0.1,0.0,0.1
3214,20,0.325,0.0,0.325,0.325,0.0,0.325
3224,20,0.075,0.0,0.075,0.075,0.0,0.075
3229,20,0.06,0.0,0.06,0.06,0.0,0.06
3239,20,0.065,0.0,0.065,0.065,0.0,0.065
3246,20,0.035,0.0,0.035,0.035,0.0,0.035
3248,20,0.135,0.0,0.135,0.135,0.0,0.135
3252,20,0.05,0.0,0.05,0.05,0.0,0.05
3255,20,0.285,0.0,0.285,0.285,0.0,0.285
3289,20,0.495,0.0,0.495,0.495,0.0,0.495
3296,20,0.12,0.0,0.12,0.12,0.0,0.12
3298,20,0.275,0.0,0.275,0.275,0.0,0.275
3307,20,0.015,0.0,0.015,0.015,0.0,0.015
3312,20,0.06,0.0,0.06,0.06,0.0,0.06
3318,20,0.0,0.0,0.0,0.0,0.0,0.0
3351,20,0.22000000000000003,0.0,0.22,0.22,0.0,0.22
3355,20,0.175,0.0,0.175,0.175,0.0,0.175
3361,20,0.08,0.0,0.08,0.08,0.0,0.08
3379,20,0.012993175517167837,0.0,0.012993175517167839,0.012993175517167839,0.0,0.012993175517167839
3384,20,0.42183505913329816,0.0,0.42183505913329816,0.42183505913329816,0.0,0.42183505913329816
3415,20,0.06,0.0,0.06,0.06,0.0,0.06
3416,20,0.135,0.0,0.135,0.135,0.0,0.135
3429,20,0.34,0.0,0.34,0.34,0.0,0.34
3434,20,0.0,0.0,0.0,0.0,0.0,0.0
3439,20,0.015,0.0,0.015,0.015,0.0,0.015
3473,20,0.005,0.0,0.005,0.005,0.0,0.005
3476,20,0.01,0.0,0.01,0.01,0.0,0.01
3478,20,0.255,0.0,0.255,0.255,0.0,0.255
3480,20,0.01,0.0,0.01,0.01,0.0,0.01
3496,20,0.035,0.0,0.035,0.035,0.0,0.035
3499,20,0.365,0.0,0.365,0.365,0.0,0.365
3504,20,0.01,0.0,0.01,0.01,0.0,0.01
