model,subgroup_feature,subgroup_value,rows,positive_rate,precision,recall,f1,pr_auc,brier_score,ece
logistic_regression,project_key,PLVS,84,0.39285714285714285,0.4307692307692308,0.8484848484848485,0.5714285714285714,0.5972724104124912,0.28465473699521177,0.28208059983445727
logistic_regression,project_key,REFAPP,92,0.21739130434782608,0.24193548387096775,0.75,0.36585365853658536,0.24862052341282143,0.29264834287731106,0.32816450091907007
logistic_regression,project_key,REST,82,0.2682926829268293,0.3392857142857143,0.8636363636363636,0.48717948717948717,0.35188200108984774,0.2901798284553331,0.3129995991307975
logistic_regression,project_key,SAL,54,0.4074074074074074,0.4489795918367347,1.0,0.6197183098591549,0.4322017543476522,0.31247741545617663,0.2700571503932245
logistic_regression,project_key,SELENIUM,57,0.40350877192982454,0.4107142857142857,1.0,0.5822784810126582,0.5896688112455499,0.34184059117709575,0.34677263414850035
logistic_regression,project_key,SPFE,120,0.18333333333333332,0.24,0.2727272727272727,0.2553191489361702,0.2512416574832662,0.19423206005488894,0.21168269326253705
logistic_regression,project_key,STRM,455,0.23736263736263735,0.3902439024390244,0.5925925925925926,0.47058823529411764,0.44194578565601256,0.21068959437306753,0.2125334137913503
logistic_regression,project_key,SVN,34,0.3235294117647059,0.3333333333333333,0.8181818181818182,0.47368421052631576,0.5160070407748426,0.264425214463988,0.23190904993657166
logistic_regression,project_key,UPM,750,0.23333333333333334,0.4657534246575342,0.5828571428571429,0.5177664974619289,0.4730399499100573,0.18771545006468732,0.18098705521723288
logistic_regression,issuetype,Bug,889,0.24971878515185603,0.38529411764705884,0.5900900900900901,0.46619217081850534,0.4131014252580385,0.2204819298843653,0.2113162535721457
logistic_regression,issuetype,Improvement,340,0.37058823529411766,0.4423076923076923,0.9126984126984127,0.5958549222797928,0.46872820340314025,0.2704554824657009,0.22515177703749578
logistic_regression,issuetype,New Feature,77,0.3246753246753247,0.35714285714285715,0.8,0.49382716049382713,0.38435447285968105,0.29727916092520373,0.2746186671627959
logistic_regression,issuetype,Story,69,0.3188405797101449,0.391304347826087,0.8181818181818182,0.5294117647058824,0.5504635691462799,0.2661301034602376,0.26900770170589716
logistic_regression,issuetype,Sub-task,173,0.05202312138728324,0.0,0.0,0.0,0.0687185601075618,0.08702276559877722,0.1766555873169803
logistic_regression,issuetype,Task,309,0.18770226537216828,0.3,0.3620689655172414,0.328125,0.2584948776984295,0.1974610935447795,0.2088008147439482
logistic_regression,priority,Blocker,48,0.125,0.0,0.0,0.0,0.5257936507936507,0.09390421427590907,0.1447166128375404
logistic_regression,priority,Critical,148,0.1554054054054054,0.42857142857142855,0.2608695652173913,0.32432432432432434,0.3164206108948763,0.15467816820735777,0.16290851440522655
logistic_regression,priority,Major,1387,0.23215573179524152,0.3649906890130354,0.6086956521739131,0.4563445867287544,0.38430947892817147,0.21758578550318408,0.22220496984940336
logistic_regression,priority,Minor,251,0.41434262948207173,0.4511627906976744,0.9326923076923077,0.6081504702194357,0.5025330978005368,0.2840151858478117,0.2268767404840827
logistic_regression,priority,Trivial,41,0.34146341463414637,0.52,0.9285714285714286,0.6666666666666666,0.5079112945018518,0.2537331391090529,0.24223517032872316
random_forest,project_key,PLVS,84,0.39285714285714285,0.6428571428571429,0.5454545454545454,0.5901639344262295,0.6943661661466831,0.18732475151852115,0.07855800793934287
random_forest,project_key,REFAPP,92,0.21739130434782608,0.2727272727272727,0.15,0.1935483870967742,0.2690431816125351,0.19120892539759748,0.12638343799154836
random_forest,project_key,REST,82,0.2682926829268293,0.3333333333333333,0.13636363636363635,0.1935483870967742,0.4602377071562211,0.1859236863383031,0.17373474372068695
random_forest,project_key,SAL,54,0.4074074074074074,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.6724069020978893,0.2230166666666667,0.15018518518518514
random_forest,project_key,SELENIUM,57,0.40350877192982454,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.5843713365029676,0.21462684990260578,0.11083235035293677
random_forest,project_key,SPFE,120,0.18333333333333332,0.8181818181818182,0.4090909090909091,0.5454545454545454,0.6508217435796144,0.10249624753669956,0.04934733671547153
random_forest,project_key,STRM,455,0.23736263736263735,0.4878048780487805,0.18518518518518517,0.2684563758389262,0.45269551884809656,0.16424279271415648,0.07412348549169931
random_forest,project_key,SVN,34,0.3235294117647059,0.5,0.2727272727272727,0.35294117647058826,0.6317057125880655,0.18261018743867333,0.11628304066409344
random_forest,project_key,UPM,750,0.23333333333333334,0.5802469135802469,0.26857142857142857,0.3671875,0.4723196994345431,0.15517036495086317,0.04542654230046391
random_forest,issuetype,Bug,889,0.24971878515185603,0.5225225225225225,0.26126126126126126,0.3483483483483483,0.4728773122801446,0.16758419627042462,0.04404641430415016
random_forest,issuetype,Improvement,340,0.37058823529411766,0.5789473684210527,0.3492063492063492,0.43564356435643564,0.5806314577815315,0.2033835503513603,0.06527960384370358
random_forest,issuetype,New Feature,77,0.3246753246753247,0.5294117647058824,0.36,0.42857142857142855,0.5598717223890244,0.20349751655993756,0.08048084783558063
random_forest,issuetype,Story,69,0.3188405797101449,0.625,0.45454545454545453,0.5263157894736842,0.6171709311231512,0.1728305713957193,0.06224531666116776
random_forest,issuetype,Sub-task,173,0.05202312138728324,0.4,0.2222222222222222,0.2857142857142857,0.17662323018508758,0.058487654805280585,0.05657029321247739
random_forest,issuetype,Task,309,0.18770226537216828,0.5,0.1724137931034483,0.2564102564102564,0.4007450597440037,0.14312071558939066,0.07310561317749656
random_forest,priority,Blocker,48,0.125,0.0,0.0,0.0,0.68013468013468,0.08930596288703078,0.07973830424037229
random_forest,priority,Critical,148,0.1554054054054054,0.7142857142857143,0.21739130434782608,0.3333333333333333,0.5545797345117814,0.10498900856538129,0.06848105401973256
random_forest,priority,Major,1387,0.23215573179524152,0.55,0.2732919254658385,0.3651452282157676,0.47072691501261416,0.15756330799199245,0.04625322951263371
random_forest,priority,Minor,251,0.41434262948207173,0.5194805194805194,0.38461538461538464,0.4419889502762431,0.5657937439718694,0.23014486067617912,0.11445435724578569
random_forest,priority,Trivial,41,0.34146341463414637,0.75,0.21428571428571427,0.3333333333333333,0.6095053649479115,0.18072256097560976,0.15963414634146345
